ticker,height,atomical_id,utxo_count,utxo_amount,minted_times,minted_amount,max_mints
colorfulbitcoin,860000,000086de5b64d6b07823d833dd35aa115a4fdb0f2345cc007b48d9fdb6d16f6ai0,0,0,0,0,100000
colorfulbtc,860000,00004c9e435307d2e0502d1b172313b6dde17fbc55166ecacf49fbd83136d04bi0,0,0,0,0,100000
colorfulcoin,860000,00008b8fa9fb328681f9a2972900474127035b83884ee4031ad5546d685db599i0,0,0,0,0,100000
colorfulcoins,860000,0000cf0accec6d57bdf992eacc06bb3c838e4b11dc7ea95e4465948dd548e754i0,0,0,0,0,100000
colorfulsat,860000,0000ff79a4715b70d379d49f5052beb67106bd382e1be9a95078f196f4296e80i0,0,0,0,0,100000
colorfulsatoshi,860000,000086c8f66910941ed2af5f4d1931e7c7b06e2d57069eb03ae0d7fe1873fc9di0,0,0,0,0,100000
colorfulsatoshis,860000,0000ad305c6b2c4b6875046d165041ca94892bc478d33369862e0e43e76ed681i0,0,0,0,0,100000
colorfulsats,860000,000067303762568058a4663b281d534733827232f7904aa1dd2257798fb8af8ci0,0,0,0,0,100000
colorfultoken,860000,000044f7a28a537605318bdcf6bc2eb8f00f9ca5d98f48d3cd5fbdcdafd71cdai0,0,0,0,0,100000
colorfultokens,860000,0000f7eb9239281dc27f3a04e9039fbac160087a5a905a947e19ca9548d0ef57i0,0,0,0,0,100000
coloring,860000,0000fbecc3e2d1d3b9e0c6df3e00dde856adb10513d9c76bd90e2117594c9f7fi0,0,0,0,0,100000
coloringbitcoin,860000,0000ea87ae0ae4d9047a7540d7027ffceeea0b442624a0153ea250a24ad7fac3i0,0,0,0,0,100000
coloringbitcoins,860000,0000fc2bf390f526cee5fc46dc39e47473ea5f867e2849f75ad06a6797fdfff5i0,0,0,0,0,100000
coloringbtc,860000,0000f2844d91439dbdb65d2d89087464af8c710849ada3ff06d64ca83ae736edi0,0,0,0,0,100000
coloringcoin,860000,000096889e0e4542382f90ce7cfa26437b02c9494eda4e0a6153b6014dc86bd2i0,0,0,0,0,100000
coloringcoins,860000,00009a9fd106444d64cd438681ddeb3891a005c5b300c9d74b9e0e1211895ffdi0,0,0,0,0,100000
coloringsat,860000,0000371b2fa6957c7f1961cae7c794864e3296b718c42eaee20f76c39e7fb6c5i0,0,0,0,0,100000
coloringsatoshi,860000,000077c256fa7a6eb009651020c53e56c111ba1264796149b02e37c01687e6efi0,0,0,0,0,100000
coloringsatoshis,860000,00002f1082279ed9c07ec4f1938c4b0acd949031a81cc6f78d67c600a1f4bd8ei0,0,0,0,0,100000
coloringsats,860000,0000aa20465aa920d0104554e6b045c38eb0b1b1dbfcddd1b54093dd34960152i0,0,0,0,0,100000
coloringtoken,860000,0000e7fbfad613758c5d875177ba9de521449c83781b7fda4718df64f382b38fi0,0,0,0,0,100000
coloringtokens,860000,0000d404ecec4631fdddded7771bb37090ec6b8bbb017b66e2474b7bc1eae1a9i0,0,0,0,0,100000
colorsat,860000,00006f19616221d8936ef3459336ce3daeecfcdc901b9f88e4439545d7561108i0,0,0,0,0,100000
colorsatoshi,860000,00002dea5ab68abd7114066ae3e185e22142a3d87c351ec779ddacd27c6f09a7i0,0,0,0,0,100000
colorsatoshis,860000,000003be8fa489e18568f40c56f206de21888b3f178eb5b67c215eff8b25d0e4i0,0,0,0,0,100000
colorsats,860000,0000212a9264e11bde1ce51267cccf60e4daf41add453ccb463b4dd8879a317ai0,0,0,0,0,100000
colortoken,860000,00004c13a8e09573a488b09e1e5b97838d9c0f743e7d3f8617b6fac07a8defbei0,0,0,0,0,100000
colortokens,860000,00007893cd941b89d04a13de63288fdf5bb7a7252350a662b04d934b15f98836i0,0,0,0,0,100000
colour,860000,0000693a6670e905987a464bb6a7246fd93a8f2129b73b65803be7a925ab7ea9i0,0,0,0,0,100000
colourbitcoin,860000,000084ee8e3f33d43dc27279fc129152f4a3a6d8f34d76b0cce8b731ea218454i0,0,0,0,0,100000
colourbtc,860000,0000c6eb5cef81ead74e8c905c5908b76125ec52dc007f6d6c26699ae995d5b4i0,0,0,0,0,100000
colourcoin,860000,0000280e739a893b5fb2fde9c14b2aa5244c867c16dcec65eb596b0170970c8ei0,0,0,0,0,100000
colourcoins,860000,0000e1c6b17290d18f0d2121c6b24598701e1c911c2bc2c47d5e0bc73a09303bi0,0,0,0,0,100000
coloured,860000,000079a4bb7496757d9445d7ab476a8f0a23726a51c623db7f806ecc7800d943i0,0,0,0,0,100000
colouredbitcoin,860000,000038fe9905054742eb45016d6db699c2d41462dc237f64bdbb14ece0cbf24fi0,0,0,0,0,100000
colouredbtc,860000,000091c486e1fd926b9a0fcfdd5cec657aa460ec1628b1f8bfae53570fce0ea9i0,0,0,0,0,100000
colouredcoin,860000,0000a498465ead981d9829a4bcf737a0f620a16bb5ceab52fee19c59ce9e16f0i0,0,0,0,0,100000
colouredcoins,860000,0000d955b4525274278c03c2c1bc1f8ffcf772e9866222ff7fe0c803b4eb39b1i0,0,0,0,0,100000
colouredsat,860000,0000fd69a0605b2a3d6ba257b6fe4b8d69a2d6d264bb7e0aed08d42c785f1f5ai0,0,0,0,0,100000
colouredsatoshi,860000,0000ee2863cc693c085cbdfd2d6b133a914a6701e0449676881064d88f330459i0,0,0,0,0,100000
colouredsatoshis,860000,0000e40109a8cadb642846e975ba4482388f015d5eb87dfd82fa24faa42a1fc2i0,0,0,0,0,100000
colouredsats,860000,0000478e250fc7ddf72d670120ec5f2219c03317a72a0b44a72185165451c703i0,0,0,0,0,100000
colouredtoken,860000,0000e1dd99734fdaafe276de4f8a71c1da104b7afa64658a27edc5c6695e4c98i0,0,0,0,0,100000
colouredtokens,860000,0000ce1f0f1b381f2ed33aede3317014335c049126cfd491ad80985645565f6fi0,0,0,0,0,100000
colourful,860000,441884774b770e306488c0410c22502e75b8d053a9ebea99af892d442c5173e9i0,0,0,0,0,1000000
colourfulbitcoin,860000,0000dc6f3ad7f9ad7340aa0f2842673d3bff976db5a68e41773bd484ca7e34afi0,0,0,0,0,100000
colourfulbtc,860000,00009bfcc95ab184d84fda6736ac6df2485142e3b3774750199cea8911244465i0,0,0,0,0,100000
colourfulcoin,860000,0000e1c00917dd638d4547e840f9e61919c92d39812dd0d0e9a3ce467edab775i0,0,0,0,0,100000
colourfulcoins,860000,00003fcd149a70def313d67face9287d7cc3593e8e7bddc4a2c4418fd2864ebai0,0,0,0,0,100000
